,Date,Match,Result,Score,Competition,manager
0,2019-08-11,Newcastle United v Arsenal,W,0-1,Premier League,Mikel Arteta
1,2019-08-17,Arsenal v Burnley,W,2-1,Premier League,Mikel Arteta
2,2019-08-24,Liverpool v Arsenal,L,3-1,Premier League,Mikel Arteta
3,2019-09-01,Arsenal v Tottenham Hotspur,D,2-2,Premier League,Mikel Arteta
4,2019-09-15,Watford v Arsenal,D,2-2,Premier League,Mikel Arteta
5,2019-09-19,Eintracht Frankfurt v Arsenal,W,0-3,UEFA Europa League,Mikel Arteta
6,2019-09-22,Arsenal v Aston Villa,W,3-2,Premier League,Mikel Arteta
7,2019-09-24,Arsenal v Nottingham Forest,W,5-0,League Cup,Mikel Arteta
8,2019-09-30,Manchester United v Arsenal,D,1-1,Premier League,Mikel Arteta
9,2019-10-03,Arsenal v Standard Liège,W,4-0,UEFA Europa League,Mikel Arteta
10,2019-10-06,Arsenal v AFC Bournemouth,W,1-0,Premier League,Mikel Arteta
11,2019-10-21,Sheffield United v Arsenal,L,1-0,Premier League,Mikel Arteta
12,2019-10-24,Arsenal v Vitória Guimarães,W,3-2,UEFA Europa League,Mikel Arteta
13,2019-10-27,Arsenal v Crystal Palace,D,2-2,Premier League,Mikel Arteta
14,2019-10-30,Liverpool v Arsenal,L,5-5 (5-4),League Cup,Mikel Arteta
15,2019-11-02,Arsenal v Wolverhampton Wanderers,D,1-1,Premier League,Mikel Arteta
16,2019-11-06,Vitória Guimarães v Arsenal,D,1-1,UEFA Europa League,Mikel Arteta
17,2019-11-09,Leicester City v Arsenal,L,2-0,Premier League,Mikel Arteta
18,2019-11-23,Arsenal v Southampton,D,2-2,Premier League,Mikel Arteta
19,2019-11-28,Arsenal v Eintracht Frankfurt,L,1-2,UEFA Europa League,Mikel Arteta
20,2019-12-01,Norwich City v Arsenal,D,2-2,Premier League,Mikel Arteta
21,2019-12-05,Arsenal v Brighton and Hove Albion,L,1-2,Premier League,Mikel Arteta
22,2019-12-09,West Ham United v Arsenal,W,1-3,Premier League,Mikel Arteta
23,2019-12-12,Standard Liège v Arsenal,D,2-2,UEFA Europa League,Mikel Arteta
24,2019-12-15,Arsenal v Manchester City,L,0-3,Premier League,Mikel Arteta
25,2019-12-21,Everton v Arsenal,D,0-0,Premier League,Mikel Arteta
26,2019-12-26,AFC Bournemouth v Arsenal,D,1-1,Premier League,Mikel Arteta
27,2019-12-29,Arsenal v Chelsea,L,1-2,Premier League,Mikel Arteta
28,2020-01-01,Arsenal v Manchester United,W,2-0,Premier League,Mikel Arteta
29,2020-01-06,Arsenal v Leeds United,W,1-0,FA Cup,Mikel Arteta
30,2020-01-11,Crystal Palace v Arsenal,D,1-1,Premier League,Mikel Arteta
31,2020-01-18,Arsenal v Sheffield United,D,1-1,Premier League,Mikel Arteta
32,2020-01-21,Chelsea v Arsenal,D,2-2,Premier League,Mikel Arteta
33,2020-01-27,AFC Bournemouth v Arsenal,W,1-2,FA Cup,Mikel Arteta
34,2020-02-02,Burnley v Arsenal,D,0-0,Premier League,Mikel Arteta
35,2020-02-16,Arsenal v Newcastle United,W,4-0,Premier League,Mikel Arteta
