,Date,Match,Result,Score,Competition,manager
0,2016-08-13,Manchester City v Sunderland,W,2-1,Premier League,Pep Guardiola
1,2016-08-16,Steaua Bucuresti v Manchester City,W,0-5,UEFA Champions League,Pep Guardiola
2,2016-08-20,Stoke City v Manchester City,W,1-4,Premier League,Pep Guardiola
3,2016-08-24,Manchester City v Steaua Bucuresti,W,1-0,UEFA Champions League,Pep Guardiola
4,2016-08-28,Manchester City v West Ham United,W,3-1,Premier League,Pep Guardiola
5,2016-09-10,Manchester United v Manchester City,W,1-2,Premier League,Pep Guardiola
6,2016-09-14,Manchester City v Borussia Monchengladbach,W,4-0,UEFA Champions League,Pep Guardiola
7,2016-09-17,Manchester City v AFC Bournemouth,W,4-0,Premier League,Pep Guardiola
8,2016-09-21,Swansea City v Manchester City,W,1-2,League Cup,Pep Guardiola
9,2016-09-24,Swansea City v Manchester City,W,1-3,Premier League,Pep Guardiola
10,2016-09-28,Celtic v Manchester City,D,3-3,UEFA Champions League,Pep Guardiola
11,2016-10-02,Tottenham Hotspur v Manchester City,L,2-0,Premier League,Pep Guardiola
12,2016-10-15,Manchester City v Everton,D,1-1,Premier League,Pep Guardiola
13,2016-10-19,Barcelona v Manchester City,L,4-0,UEFA Champions League,Pep Guardiola
14,2016-10-23,Manchester City v Southampton,D,1-1,Premier League,Pep Guardiola
15,2016-10-26,Manchester United v Manchester City,L,1-0,League Cup,Pep Guardiola
16,2016-10-29,West Bromwich Albion v Manchester City,W,0-4,Premier League,Pep Guardiola
17,2016-11-01,Manchester City v Barcelona,W,3-1,UEFA Champions League,Pep Guardiola
18,2016-11-05,Manchester City v Middlesbrough,D,1-1,Premier League,Pep Guardiola
19,2016-11-19,Crystal Palace v Manchester City,W,1-2,Premier League,Pep Guardiola
20,2016-11-23,Borussia Mönchengladbach v Manchester City,D,1-1,UEFA Champions League,Pep Guardiola
21,2016-11-26,Burnley v Manchester City,W,1-2,Premier League,Pep Guardiola
22,2016-12-03,Manchester City v Chelsea,L,1-3,Premier League,Pep Guardiola
23,2016-12-06,Manchester City v Celtic,D,1-1,UEFA Champions League,Pep Guardiola
24,2016-12-10,Leicester City v Manchester City,L,4-2,Premier League,Pep Guardiola
25,2016-12-14,Manchester City v Watford,W,2-0,Premier League,Pep Guardiola
26,2016-12-18,Manchester City v Arsenal,W,2-1,Premier League,Pep Guardiola
27,2016-12-26,Hull City v Manchester City,W,0-3,Premier League,Pep Guardiola
28,2016-12-31,Liverpool v Manchester City,L,1-0,Premier League,Pep Guardiola
