i,I,J,n
1,0,0,0.10658070028513E+01
2,0,0,-0.15732845290239E+02
3,0,1,0.20944396974307E+02
4,0,2,-0.76867707878716E+01
5,0,7,0.26185947787954E+01
6,0,10,-0.28080781148620E+01
7,0,12,0.12053369696517E+01
8,0,23,-0.84566812825102E-02
9,1,2,-0.12654315477714E+01
10,1,6,-0.11524407806661E+01
11,1,10,0.83521043984313
12,1,12,-0.64207765186167
13,2,0,0.38493460186671
14,2,1,-0.8521475830009
15,2,4,0.48972281541877E+01
16,2,7,-0.30502617256965E+01
17,2,8,0.39420536853062E-01
18,2,10,0.12535840428374
19,3,0,-0.27999329698710
20,3,2,0.13899799569460E+01
21,3,4,-0.20189915023570E+01
22,3,16,-0.82147637173963E-02
23,1,26,-0.47579603574933
24,3,2,0.43934074473500E-01
25,4,2,-0.44476435428739
26,4,4,0.90572070719733
27,5,4,0.70570051262632
28,5,26,-0.3291368258954
29,5,26,-0.50871062140011
30,6,2,-0.2221754030873096E-01
31,6,4,0.942606751665092E-01
32,6,26,0.16436278447961
33,6,26,-0.1032337224183E-01
34,7,2,-0.14834345352472E-01
35,7,4,-0.57922953628084E-03
36,8,2,0.32390409719817E-01
37,9,2,0.92707584722688E-01
38,10,2,-0.61657679795073E-01
39,10,4,-0.16557679795037E-03
40,11,26,-0.44923899061815E-04
